ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	37	1	1	0.000000	14.756757	13.324324	13.108108	12.702703	0	12	11
2	30	1	2	0.000000	31.033333	14.166667	33.333333	13.833333	0	19	27
3	6	1	2	0.000000	70.333333	24.666667	79.000000	26.833333	0	38	53
4	12	3	4	0.000000	100.416667	28.250000	111.250000	29.166667	0	64	75
5	2	2	1	0.000000	38.000000	35.000000	34.000000	32.500000	0	19	18
6	21	2	2	0.000000	31.190476	15.428571	33.952381	16.809524	0	21	20
7	48	1	1	0.000000	22.166667	20.125000	20.354167	18.208333	0	26	21
8	9	0	1	0.000000	66.111111	37.555556	55.777778	31.222222	0	48	28
9	10	2	1	0.000000	48.900000	28.000000	34.700000	20.700000	0	37	30
10	3	2	1	0.000000	46.666667	44.666667	27.666667	24.666667	0	26	19
11	63	1	1	0.000000	19.285714	15.412698	13.698413	11.841270	0	33	24
12	20	2	2	0.000000	59.000000	14.250000	47.200000	9.450000	0	53	41
13	40	2	1	0.000000	17.400000	16.700000	19.650000	17.925000	0	12	16
14	6	1	2	0.000000	24.833333	23.833333	26.833333	25.666667	0	14	18
15	31	1	2	0.000000	30.322581	18.870968	32.774194	24.806452	0	40	45
16	17	1	0	0.000000	32.823529	11.588235	34.470588	13.058824	0	14	20
17	1	3	2	0.000000	65.000000	32.000000	54.000000	27.000000	0	26	18
18	5	2	1	0.000000	48.400000	47.200000	38.800000	38.600000	0	27	22
19	13	0	1	0.000000	29.923077	29.923077	28.153846	28.153846	0	17	18
20	1	1	2	0.000000	64.000000	64.000000	50.000000	50.000000	0	35	24
21	1	1	2	0.000000	86.000000	82.000000	75.000000	72.000000	0	52	31
22	1	1	2	0.000000	101.000000	98.000000	88.000000	83.000000	0	60	37
23	4	1	2	0.000000	106.500000	100.250000	94.000000	89.750000	0	77	48
24	1	2	2	0.000000	102.000000	66.000000	88.000000	54.000000	0	64	42
25	2	1	1	0.000000	53.000000	53.000000	57.500000	57.500000	0	35	22
26	1	2	2	0.000000	68.000000	68.000000	74.000000	74.000000	0	37	30
27	35	1	1	0.000000	11.200000	8.028571	12.857143	10.914286	0	11	8
28	17	2	1	0.000000	23.470588	16.764706	26.411765	19.235294	0	9	31
29	39	1	1	0.000000	12.564103	11.435897	12.102564	11.179487	0	9	24
30	12	0	0	0.000000	33.833333	32.166667	35.583333	33.583333	0	18	22
31	1073	1	0	0.000000	12.508854	2.878844	12.808015	2.458527	0	102	95
32	50	1	1	0.000000	14.520000	13.360000	14.680000	13.800000	0	12	7
33	19	1	2	0.000000	35.631579	13.526316	34.473684	12.684211	0	19	23
34	6	2	2	0.000000	36.166667	16.166667	34.833333	16.333333	0	15	23
35	2	1	1	0.000000	15.500000	15.500000	19.000000	19.000000	0	7	11
36	5	1	1	0.000000	53.000000	36.200000	54.000000	32.000000	0	27	20
37	46	1	2	0.000000	15.565217	13.369565	19.304348	15.347826	0	34	27
38	33	1	1	0.000000	18.000000	17.363636	18.181818	17.969697	0	16	11
39	38	1	2	0.000000	16.947368	12.657895	15.315789	10.763158	0	25	15
40	31	1	1	0.000000	14.290323	11.290323	20.387097	17.645161	0	9	13
41	9	0	1	0.000000	31.777778	25.777778	36.333333	30.666667	0	22	25
42	60	2	1	0.000000	14.100000	13.716667	14.400000	13.183333	0	32	16
43	46	1	2	0.000000	15.695652	10.608696	5.869565	4.369565	0	12	1
44	31	1	1	0.000000	7.000000	6.483871	19.096774	16.387097	0	12	12
45	1	2	3	0.000000	77.000000	77.000000	86.000000	86.000000	0	33	48
46	1	2	2	0.000000	347.000000	347.000000	358.000000	358.000000	0	34	43
47	3	1	2	0.000000	76.666667	56.333333	73.000000	53.000000	0	52	60
48	14	2	2	0.000000	35.785714	32.285714	27.428571	25.571429	0	15	15
49	1	3	2	0.000000	90.000000	15.000000	83.000000	16.000000	0	42	41
50	10	2	1	0.000000	31.900000	20.800000	31.300000	18.200000	0	17	23
51	50	1	1	0.000000	17.260000	15.560000	18.920000	17.240000	0	14	11
52	29	1	1	0.000000	10.241379	10.241379	12.137931	12.137931	0	8	8
53	1	2	3	0.000000	40.000000	40.000000	44.000000	44.000000	0	22	26
54	7	2	2	0.000000	27.428571	25.714286	35.571429	35.000000	0	17	23
55	30	1	1	0.000000	14.333333	10.900000	16.166667	12.366667	0	14	24
56	78	0	0	0.000000	15.948718	14.397436	7.589744	7.025641	0	25	7
57	5	1	1	0.000000	37.800000	24.800000	43.000000	34.200000	0	14	17
58	2	1	2	0.000000	55.500000	16.000000	63.000000	18.500000	0	25	24
59	5	2	2	0.000000	47.200000	27.400000	44.600000	24.200000	0	34	34
60	4	2	1	0.000000	30.000000	27.250000	25.000000	22.500000	0	18	16
61	97	0	0	0.000000	27.360825	18.216495	27.505155	18.020619	0	29	24
62	4	1	2	0.000000	66.000000	31.750000	50.750000	20.000000	0	46	28
63	5	2	1	0.000000	38.600000	38.000000	29.200000	26.600000	0	22	17
64	2	0	1	0.000000	25.500000	24.500000	17.500000	15.500000	0	12	13
65	34	1	1	0.000000	14.117647	12.882353	10.705882	10.705882	0	13	11
66	36	1	1	0.000000	21.250000	18.416667	14.750000	12.250000	0	12	11
67	40	1	1	0.000000	16.900000	15.575000	12.275000	11.250000	0	13	12
68	2	1	2	0.000000	46.000000	17.000000	46.000000	13.500000	0	10	6
69	21	1	0	0.000000	14.047619	2.904762	6.666667	1.095238	0	8	0
70	1	3	1	0.000000	60.000000	57.000000	43.000000	41.000000	0	23	21
71	34	1	1	0.000000	15.058824	13.823529	9.558824	8.941176	0	11	0
72	9	0	2	0.000000	49.555556	26.888889	44.000000	23.111111	0	37	42
73	49	1	1	0.000000	10.387755	10.265306	16.102041	14.408163	0	15	20
74	30	1	1	0.000000	18.066667	15.533333	14.766667	11.933333	0	23	18
75	11	2	2	0.000000	32.272727	30.454545	24.454545	23.818182	0	19	12
76	4	1	1	0.000000	13.750000	12.750000	15.250000	15.250000	0	8	6
77	6	1	2	0.000000	17.833333	17.333333	17.500000	17.500000	0	14	12
78	4	2	2	0.000000	22.000000	21.500000	25.250000	23.750000	0	7	17
79	6	2	1	0.000000	11.500000	11.500000	12.500000	12.500000	0	8	5
80	2	1	1	0.000000	17.000000	1.000000	17.000000	1.000000	0	1	0
