ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	37	1	1	0.000000	14.756757	13.324324	0.000000	0.000000	0	12	0
2	30	1	2	0.000000	31.000000	10.633333	0.000000	0.000000	0	19	0
3	18	2	2	0.000000	58.333333	30.166667	0.000000	0.000000	0	59	0
4	2	2	1	0.000000	35.000000	35.000000	0.000000	0.000000	0	18	0
5	50	1	1	0.000000	24.160000	19.880000	0.000000	0.000000	0	26	0
6	42	1	1	0.000000	12.714286	12.714286	0.000000	0.000000	0	14	0
7	34	2	1	0.000000	48.558824	20.058824	0.000000	0.000000	0	69	0
8	3	2	1	0.000000	44.666667	44.666667	0.000000	0.000000	0	24	0
9	42	1	1	0.000000	11.142857	10.142857	0.000000	0.000000	0	8	0
10	5	2	2	0.000000	26.200000	10.800000	0.000000	0.000000	0	13	0
11	21	1	1	0.000000	9.952381	8.285714	0.000000	0.000000	0	6	0
12	6	1	1	0.000000	26.333333	23.833333	0.000000	0.000000	0	14	0
13	61	1	1	0.000000	14.278689	13.639344	0.000000	0.000000	0	26	0
14	1	3	3	0.000000	140.000000	72.000000	0.000000	0.000000	0	63	0
15	1	2	1	0.000000	86.000000	48.000000	0.000000	0.000000	0	41	0
16	3	2	1	0.000000	53.000000	30.666667	0.000000	0.000000	0	25	0
17	6	0	1	0.000000	34.166667	29.166667	0.000000	0.000000	0	20	0
18	31	2	2	0.000000	36.548387	16.451613	0.000000	0.000000	0	50	0
19	35	1	1	0.000000	15.457143	12.800000	0.000000	0.000000	0	19	0
20	1	1	3	0.000000	64.000000	64.000000	0.000000	0.000000	0	35	0
21	1	1	2	0.000000	83.000000	82.000000	0.000000	0.000000	0	50	0
22	5	2	2	0.000000	104.000000	99.800000	0.000000	0.000000	0	75	0
23	10	0	1	0.000000	65.300000	41.100000	0.000000	0.000000	0	48	0
24	2	1	1	0.000000	53.000000	53.000000	0.000000	0.000000	0	35	0
25	1	2	2	0.000000	68.000000	68.000000	0.000000	0.000000	0	37	0
26	35	1	1	0.000000	11.628571	9.771429	0.000000	0.000000	0	11	0
27	47	1	1	0.000000	12.446809	11.510638	0.000000	0.000000	0	9	0
28	12	0	0	0.000000	35.083333	32.166667	0.000000	0.000000	0	18	0
29	51	0	0	0.000000	24.352941	11.549020	0.000000	0.000000	0	20	0
30	5	1	1	0.000000	50.400000	33.200000	0.000000	0.000000	0	27	0
31	54	1	2	0.000000	14.925926	13.777778	0.000000	0.000000	0	37	0
32	33	1	1	0.000000	18.000000	17.363636	0.000000	0.000000	0	16	0
33	27	1	2	0.000000	18.703704	13.407407	0.000000	0.000000	0	25	0
34	10	0	1	0.000000	31.500000	26.200000	0.000000	0.000000	0	22	0
35	15	1	0	0.000000	14.333333	13.866667	0.000000	0.000000	0	22	0
36	4	2	1	0.000000	100.500000	14.250000	0.000000	0.000000	0	48	0
37	4	2	1	0.000000	70.500000	17.500000	0.000000	0.000000	0	32	0
38	1	2	2	0.000000	77.000000	77.000000	0.000000	0.000000	0	33	0
39	1	2	3	0.000000	347.000000	347.000000	0.000000	0.000000	0	34	0
40	1	1	3	0.000000	103.000000	86.000000	0.000000	0.000000	0	48	0
41	2	1	2	0.000000	66.500000	48.000000	0.000000	0.000000	0	34	0
42	13	2	2	0.000000	34.769231	33.461538	0.000000	0.000000	0	15	0
43	40	1	1	0.000000	15.375000	14.400000	0.000000	0.000000	0	14	0
44	1	2	2	0.000000	41.000000	40.000000	0.000000	0.000000	0	22	0
45	37	1	1	0.000000	15.324324	14.378378	0.000000	0.000000	0	34	0
46	1	0	0	0.000000	42.000000	37.000000	0.000000	0.000000	0	17	0
47	8	1	1	0.000000	28.625000	26.375000	0.000000	0.000000	0	15	0
48	5	2	2	0.000000	39.400000	39.400000	0.000000	0.000000	0	27	0
49	4	2	1	0.000000	27.250000	27.250000	0.000000	0.000000	0	18	0
50	97	0	0	0.000000	26.896907	18.072165	0.000000	0.000000	0	29	0
51	5	2	1	0.000000	38.000000	38.000000	0.000000	0.000000	0	22	0
52	2	0	1	0.000000	24.500000	24.500000	0.000000	0.000000	0	12	0
53	34	1	1	0.000000	14.117647	12.882353	0.000000	0.000000	0	13	0
54	36	1	1	0.000000	21.416667	18.416667	0.000000	0.000000	0	12	0
55	43	1	1	0.000000	15.930233	15.674419	0.000000	0.000000	0	13	0
56	3	2	1	0.000000	22.000000	22.000000	0.000000	0.000000	0	10	0
57	2	2	2	0.000000	31.000000	28.000000	0.000000	0.000000	0	16	0
58	19	1	1	0.000000	19.000000	16.894737	0.000000	0.000000	0	16	0
59	1	1	2	0.000000	95.000000	57.000000	0.000000	0.000000	0	40	0
60	36	1	1	0.000000	14.972222	12.527778	0.000000	0.000000	0	11	0
