ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	305	2	2	0.000000	14.616393	12.865574	0.000000	0.000000	0	0	0
2	1	1	1	0.000000	18.000000	15.000000	0.000000	0.000000	0	0	0
3	128	2	2	0.000000	14.656250	12.804688	0.000000	0.000000	0	0	0
4	234	2	1	0.000000	10.081197	8.739316	0.000000	0.000000	0	0	0
5	659	2	2	0.000000	15.368741	13.632777	0.000000	0.000000	0	0	0
6	223	1	2	0.000000	18.372197	13.825112	0.000000	0.000000	0	0	0
7	21	1	1	0.000000	14.095238	10.476190	0.000000	0.000000	0	0	0
8	5	1	1	0.000000	13.800000	13.800000	0.000000	0.000000	0	0	0
9	1	2	2	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
10	42	1	1	0.000000	14.166667	12.880952	0.000000	0.000000	0	0	0
11	1	3	2	0.000000	44.000000	8.000000	0.000000	0.000000	0	0	0
12	4	2	2	0.000000	55.000000	21.000000	0.000000	0.000000	0	0	0
13	16	1	1	0.000000	14.375000	12.750000	0.000000	0.000000	0	0	0
14	159	2	1	0.000000	11.327044	9.503145	0.000000	0.000000	0	0	0
15	21	1	1	0.000000	10.047619	9.857143	0.000000	0.000000	0	0	0
16	13	1	1	0.000000	15.923077	14.923077	0.000000	0.000000	0	0	0
17	49	1	2	0.000000	14.510204	13.653061	0.000000	0.000000	0	0	0
18	1	1	3	0.000000	46.000000	45.000000	0.000000	0.000000	0	0	0
19	2	1	1	0.000000	46.500000	32.000000	0.000000	0.000000	0	0	0
20	1	2	2	0.000000	45.000000	18.000000	0.000000	0.000000	0	0	0
21	6	2	1	0.000000	44.500000	16.000000	0.000000	0.000000	0	0	0
22	5	2	1	0.000000	41.200000	16.200000	0.000000	0.000000	0	0	0
23	3	2	2	0.000000	57.666667	41.666667	0.000000	0.000000	0	0	0
24	2	1	2	0.000000	44.500000	30.000000	0.000000	0.000000	0	0	0
25	1	3	2	0.000000	60.000000	32.000000	0.000000	0.000000	0	0	0
26	1	2	3	0.000000	69.000000	42.000000	0.000000	0.000000	0	0	0
27	1	2	3	0.000000	73.000000	73.000000	0.000000	0.000000	0	0	0
28	1	2	1	0.000000	59.000000	59.000000	0.000000	0.000000	0	0	0
29	1	1	1	0.000000	58.000000	58.000000	0.000000	0.000000	0	0	0
30	1	2	3	0.000000	89.000000	89.000000	0.000000	0.000000	0	0	0
31	1	3	3	0.000000	428.000000	428.000000	0.000000	0.000000	0	0	0
32	949	1	2	0.000000	15.612223	13.804004	0.000000	0.000000	0	0	0
33	16	2	2	0.000000	44.250000	25.500000	0.000000	0.000000	0	0	0
34	21	1	1	0.000000	40.666667	18.857143	0.000000	0.000000	0	0	0
35	8	1	1	0.000000	12.000000	11.125000	0.000000	0.000000	0	0	0
36	3	1	3	0.000000	49.666667	49.333333	0.000000	0.000000	0	0	0
37	1	2	2	0.000000	66.000000	65.000000	0.000000	0.000000	0	0	0
38	1	1	2	0.000000	65.000000	64.000000	0.000000	0.000000	0	0	0
39	2	1	2	0.000000	65.500000	30.500000	0.000000	0.000000	0	0	0
40	2	1	2	0.000000	63.000000	30.500000	0.000000	0.000000	0	0	0
41	1	1	2	0.000000	76.000000	43.000000	0.000000	0.000000	0	0	0
42	2	2	2	0.000000	78.000000	45.000000	0.000000	0.000000	0	0	0
43	1	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
44	52	1	2	0.000000	17.076923	15.346154	0.000000	0.000000	0	0	0
45	1	2	2	0.000000	33.000000	30.000000	0.000000	0.000000	0	0	0
46	101	2	1	0.000000	16.742574	14.099010	0.000000	0.000000	0	0	0
47	34	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
48	1	3	3	0.000000	80.000000	80.000000	0.000000	0.000000	0	0	0
49	1	2	1	0.000000	54.000000	54.000000	0.000000	0.000000	0	0	0
50	1	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
51	2	1	2	0.000000	13.500000	13.500000	0.000000	0.000000	0	0	0
52	7	2	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
53	96	2	1	0.000000	18.312500	17.437500	0.000000	0.000000	0	0	0
54	46	2	2	0.000000	35.173913	25.347826	0.000000	0.000000	0	0	0
55	3	2	1	0.000000	31.333333	31.333333	0.000000	0.000000	0	0	0
56	4	2	1	0.000000	30.500000	30.500000	0.000000	0.000000	0	0	0
57	7	2	1	0.000000	30.571429	29.285714	0.000000	0.000000	0	0	0
58	7	1	1	0.000000	19.571429	19.142857	0.000000	0.000000	0	0	0
59	3	1	2	0.000000	19.333333	17.333333	0.000000	0.000000	0	0	0
60	4	1	2	0.000000	19.500000	17.500000	0.000000	0.000000	0	0	0
61	14	1	1	0.000000	16.785714	5.714286	0.000000	0.000000	0	0	0
62	7	1	2	0.000000	16.285714	14.857143	0.000000	0.000000	0	0	0
63	3	2	2	0.000000	31.666667	17.333333	0.000000	0.000000	0	0	0
64	210	2	1	0.000000	15.361905	14.709524	0.000000	0.000000	0	0	0
65	3	1	2	0.000000	18.666667	17.333333	0.000000	0.000000	0	0	0
66	16	1	2	0.000000	20.062500	17.437500	0.000000	0.000000	0	0	0
67	1	2	2	0.000000	28.000000	26.000000	0.000000	0.000000	0	0	0
68	12	2	1	0.000000	17.000000	15.500000	0.000000	0.000000	0	0	0
69	7	2	1	0.000000	13.000000	12.000000	0.000000	0.000000	0	0	0
70	8	2	1	0.000000	12.875000	11.875000	0.000000	0.000000	0	0	0
71	2	1	1	0.000000	11.000000	10.500000	0.000000	0.000000	0	0	0
72	3	1	2	0.000000	61.666667	31.000000	0.000000	0.000000	0	0	0
73	1248	2	2	0.000000	13.637821	12.094551	0.000000	0.000000	0	0	0
74	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
75	14	1	2	0.000000	20.928571	20.142857	0.000000	0.000000	0	0	0
76	140	2	2	0.000000	15.342857	13.114286	0.000000	0.000000	0	0	0
77	20	1	1	0.000000	18.900000	13.600000	0.000000	0.000000	0	0	0
78	94	2	2	0.000000	17.063830	15.117021	0.000000	0.000000	0	0	0
79	66	2	2	0.000000	12.787879	10.651515	0.000000	0.000000	0	0	0
80	16	2	1	0.000000	19.312500	18.687500	0.000000	0.000000	0	0	0
81	2	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
82	3	1	2	0.000000	56.666667	28.000000	0.000000	0.000000	0	0	0
83	13	1	1	0.000000	17.846154	15.153846	0.000000	0.000000	0	0	0
84	2216	2	2	0.000000	15.868231	14.074910	0.000000	0.000000	0	0	0
85	2	2	1	0.000000	17.500000	17.500000	0.000000	0.000000	0	0	0
86	2	1	1	0.000000	17.000000	17.000000	0.000000	0.000000	0	0	0
87	1	2	2	0.000000	31.000000	31.000000	0.000000	0.000000	0	0	0
88	1	2	2	0.000000	64.000000	30.000000	0.000000	0.000000	0	0	0
89	1	2	2	0.000000	58.000000	14.000000	0.000000	0.000000	0	0	0
90	1	1	1	0.000000	44.000000	11.000000	0.000000	0.000000	0	0	0
91	8	1	1	0.000000	14.250000	14.250000	0.000000	0.000000	0	0	0
92	798	2	2	0.000000	14.547619	13.041353	0.000000	0.000000	0	0	0
93	2852	2	2	0.000000	15.690393	13.907433	0.000000	0.000000	0	0	0
94	32	2	2	0.000000	16.125000	15.531250	0.000000	0.000000	0	0	0
95	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
96	32	1	2	0.000000	9.625000	9.625000	0.000000	0.000000	0	0	0
97	21	1	1	0.000000	9.380952	8.095238	0.000000	0.000000	0	0	0
98	14	1	1	0.000000	15.571429	15.000000	0.000000	0.000000	0	0	0
99	1	1	2	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
100	2686	2	2	0.000000	14.588235	12.803425	0.000000	0.000000	0	0	0
101	21	2	1	0.000000	19.476190	18.476190	0.000000	0.000000	0	0	0
102	16	2	1	0.000000	16.625000	16.250000	0.000000	0.000000	0	0	0
